Object1ID	Object1Type	Object1PrefName	Object1TextSynonyms	Object2ID	Object2Type	Object2PrefName	Object2TextSynonyms	Predicate	Direction	ConfidenceScore	n_sentences	n_pmids	SupportPMIDs
4189	Disease	mutism	mutism	2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	is associated with	<->	0.155638	1	1	33634761
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	14320	Disease	generalized anxiety disorder	GAD	leads to	->	0.155638	1	1	39019647
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19		Disease	SARS-CoV-2	SARS-CoV-2	increases risk of	->	0.153991	1	1	35578886
1678	Species	Bifidobacterium	Bifidobacterium	1470	Disease	major depressive disorder	MDD	leads to	->	0.153558	1	1	27288567
1578	Species	Lactobacillus	Lactobacillus	1470	Disease	major depressive disorder	MDD	leads to	->	0.153321	1	1	27288567
0019951	Disease	rigid spine syndrome	rigidity	2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	is associated with	<->	0.152981	1	1	33634761
	Disease	catalepsy	catalepsy	2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	is associated with	<->	0.151358	1	1	33634761
694002	Species	Betacoronavirus	Coronavirus	12858	Disease	Huntington's disease	psychiatric diseases	increases risk of	->	0.150711	1	1	36496170
694002	Species	Betacoronavirus	Coronavirus	0033429	Disease	Neuroinflammation	neuroinflammation	increases risk of	->	0.150348	1	1	36496170
	Disease	immobility	immobility	2697049	Species	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2	is associated with	<->	0.149789	1	1	33634761
	Disease	psychiatric comorbidity	psychiatric comorbidity	114727	Species	H1N1 subtype	H1N1	is associated with	<->	0.1476	1	1	25325473
	Disease	vascular comorbidities	vascular comorbidities	12721	Species	Human immunodeficiency virus	HIV	is associated with	<->	0.1476	1	1	31933016
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19		Disease	STB	STB	leads to	->	0.146442	1	1	39019647
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	12858	Disease	Huntington's disease	psychiatric diseases	increases risk of	->	0.14641	1	1	36496170
28449	Species	Neisseria subflava	Neisseria subflava		Disease	mania	mania	increases risk of	->	0.146228	1	1	32334937
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	0033429	Disease	Neuroinflammation	neuroinflammation	increases risk of	->	0.146069	1	1	36496170
10930	Disease	borderline personality disorder	BPD	3052230	Species	Orthohepacivirus hominis	HCV	is associated with	<->	0.145309	1	1	40653495
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	0024614	Disease	neurotic depression	psychotic depression	increases risk of	->	0.144415	1	1	35578886
12721	Species	Human immunodeficiency virus	HIV	778	Disease	delusional disorder	psychiatric disorder	increases risk of	->	0.14281	1	1	22272693
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19		Disease	Cotard's delusion	Cotard's delusion	increases risk of	->	0.139579	1	1	35578886
1470	Disease	major depressive disorder	MDD	287	Species	Pseudomonas aeruginosa	Pseudomonas Aeruginosa	is associated with	<->	0.138515	1	1	18283240
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19		Disease	ideations	ideations	leads to	->	0.13832	2	1	34465319
1470	Disease	major depressive disorder	MDD	582	Species	Morganella morganii	Morganella Morganii	is associated with	<->	0.138273	1	1	18283240
1470	Disease	major depressive disorder	MDD	303	Species	Pseudomonas putida	Pseudomonas Putida	is associated with	<->	0.138192	1	1	18283240
1470	Disease	major depressive disorder	MDD	545	Species	Citrobacter koseri	Citrobacter Koseri	is associated with	<->	0.138192	1	1	18283240
1470	Disease	major depressive disorder	MDD	569	Species	Hafnia alvei	Hafnia Alvei	is associated with	<->	0.137786	1	1	18283240
12721	Species	Human immunodeficiency virus	HIV	0060038	Disease	specific developmental disorder	mental health disorder	leads to	->	0.137702	1	1	29424787
	Disease	HCV infection	HCV infection	3052230	Species	Orthohepacivirus hominis	HCV	is associated with	<->	0.137631	1	1	40653495
	Disease	SCZ	SCZ	3052230	Species	Orthohepacivirus hominis	HCV	is associated with	<->	0.136723	1	1	40653495
3052230	Species	Orthohepacivirus hominis	HCV	0000143	Disease	major depressive episode	DSM-IV major depression	causes	->	0.13546	1	1	20683942
2697049	Species	Severe acute respiratory syndrome coronavirus 2	COVID-19	9389	Disease	infectious anterior uveitis	infection	leads to	->	0.113649	1	1	38193771
